emp_id,emp_name,job_name,manager_id,hire_date,salary,commission,dept_id
68319,KAYLING,PRESIDENT,,18-11-1991,6000,,1001
66928,BLAZE,MANAGER,68319,01-05-1991,2750,,3001
67832,CLARE,MANAGER,68319,09-06-1991,2550,,1001
65646,JONAS,MANAGER,68319,02-04-1991,2957,,2001
67858,SCARLET,ANALYST,65646,19-04-1997,3100,,2001
69062,FRANK,ANALYST,65646,03-12-1991,3100,,2001
63679,SANDRINE,CLERK,69062,18-12-1990,900,,2001
64989,ADELYN,SALESMAN,66928,20-02-1991,1700,400,3001
65271,WADE,SALESMAN,66928,22-02-1991,1350,600,3001
66564,MADDEN,SALESMAN,66928,28-09-1991,1350,1500,3001
68454,TUCKER,SALESMAN,66928,08-09-1991,1600,0,3001
68736,ADNRES,CLERK,67858,23-05-1997,1200,,2001
69000,JULIUS,CLERK,66928,03-12-1991,1050,,3001
69324,MARKER,CLERK,67832,23-01-1992,1400,,1001
